Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
01 May 2017;1.3;267.63173887049;5.6;220.2;-24.1296;15.8947;31201
02 May 2017;0.9;28.276197034725;4.6;221.0;-24.1296;15.8947;31201
03 May 2017;0.8;95.226444845044;5.6;197.8;-24.1296;15.8947;31201
04 May 2017;0.9;251.36050805357;5.2;186.0;-24.1296;15.8947;31201
05 May 2017;1.7;283.74846573485;6.1;336.2;-24.1296;15.8947;31201
06 May 2017;0.9;179.26957182929;7.2;176.9;-24.1296;15.8947;31201
07 May 2017;0.5;259.18544569808;6.0;25.96;-24.1296;15.8947;31201
08 May 2017;1.5;256.90335200955;5.7;343.2;-24.1296;15.8947;31201
09 May 2017;0.8;297.48761280291;5.6;328.3;-24.1296;15.8947;31201
10 May 2017;2.0;279.66736775484;6.9;295.4;-24.1296;15.8947;31201
11 May 2017;1.7;276.03726606246;5.6;289.3;-24.1296;15.8947;31201
12 May 2017;0.3;326.08429521635;6.1;32.47;-24.1296;15.8947;31201
13 May 2017;1.8;130.04851451364;5.3;107.3;-24.1296;15.8947;31201
14 May 2017;2.3;134.68604362762;5.3;97.8;-24.1296;15.8947;31201
15 May 2017;2.3;149.5911218709;5.5;206.5;-24.1296;15.8947;31201
16 May 2017;2.5;166.85055898995;5.6;191.3;-24.1296;15.8947;31201
17 May 2017;1.5;156.40288111009;3.3;89.3;-24.1296;15.8947;31201
18 May 2017;1.1;252.99682425398;4.5;180.9;-24.1296;15.8947;31201
19 May 2017;0.1;8.2110613724622;5.4;198.0;-24.1296;15.8947;31201
20 May 2017;1.3;64.018572332125;6.7;21.45;-24.1296;15.8947;31201
21 May 2017;1.8;48.329489509849;7.6;21.71;-24.1296;15.8947;31201
22 May 2017;2.0;24.14633213275;7.6;31.3;-24.1296;15.8947;31201
23 May 2017;2.3;356.5138288355;6.1;20.71;-24.1296;15.8947;31201
24 May 2017;1.4;258.04801200937;5.6;177.3;-24.1296;15.8947;31201
25 May 2017;1.7;239.40796372103;5.5;292.9;-24.1296;15.8947;31201
26 May 2017;1.5;237.93308830871;4.7;273.7;-24.1296;15.8947;31201
27 May 2017;0.6;316.31317283831;6.0;325.2;-24.1296;15.8947;31201
28 May 2017;3.9;100.78174167709;7.0;97.1;-24.1296;15.8947;31201
29 May 2017;1.9;106.60834245254;4.5;100.5;-24.1296;15.8947;31201
30 May 2017;0.4;158.10101728023;3.5;3.45;-24.1296;15.8947;31201
31 May 2017;1.2;181.71407692785;3.5;161.1;-24.1296;15.8947;31201
01 Jun 2017;0.4;279.38238411626;3.9;329.6;-24.1296;15.8947;31201
02 Jun 2017;1.0;296.21850619771;6.2;347.8;-24.1296;15.8947;31201
03 Jun 2017;1.7;280.83311361942;6.8;317.5;-24.1296;15.8947;31201
04 Jun 2017;1.2;213.89211998281;4.7;180.9;-24.1296;15.8947;31201
05 Jun 2017;1.5;289.52905723708;6.8;321.3;-24.1296;15.8947;31201
06 Jun 2017;2.9;298.06146681986;10.3;323.2;-24.1296;15.8947;31201
07 Jun 2017;4.3;173.65962398756;8.1;177.8;-24.1296;15.8947;31201
08 Jun 2017;1.6;153.72881955923;4.0;109.7;-24.1296;15.8947;31201
09 Jun 2017;4.7;336.38330757634;10.4;351.7;-24.1296;15.8947;31201
10 Jun 2017;2.0;289.40183555157;6.5;301.9;-24.1296;15.8947;31201
11 Jun 2017;1.3;254.60172158957;4.2;303.1;-24.1296;15.8947;31201
